,jobdescription,jobtitle
324," Responsibilities: Role requires Project Management of one or more tracks of a large-scale initiative resulting from an internal modernization initiative. The Project involves data migration from multiple legacy systems to the new platform. The Project Manager will oversee matrixed teams consisting of both internal and vendor technical resources with varying levels of skill and proficiency. Responsibilities include oversight of the resources assigned, day-to-day execution, and ultimate accountability for the success of the Project tracks. This is a highly visible role, interacting regularly with senior executives. Ability to work collaboratively with all levels of management, holding the team accountable and ensuring established timelines are met. Candidate must have exceptionally strong communication, influencing and negotiation skills. Strong organization skills and attention to details are critical in this role. Annuity, Third Party Distribution, and DTCC background is a plus. ",IT - Project Manager IV
325,"Minimum Required Skills:Salesforce Sales Cloud / Service Cloud, APEX, SQL, JavaScript, HTMLIf you are a Salesforce Technical Lead or Senior Software Engineer with Saleforce Sales Cloud, Service Cloud or Marketing Cloud experience and you're looking to lead a team, please read on!What You Will Be DoingAs the Technical Lead for our Salesforce platform you will guide the technical vision of your team while enforcing coding standards and maintaining quality. You will work on a variety of projects related to our growing business. In addition to Apex you will also work extensively with SQL, HTML and JavaScript.Our system utilizes Skuid and JavaScript to provide an effective user experience for all staff including Sales, Customer Service Marketing and Operations. On the backend our solution integrates in real time with our website, booking system and Business Intelligence systems. We have built out many advanced features such as real time lead scoring and distribution as well as advanced ownership rules and notification mechanisms.What You Need for this Position- 5+ years of software development experience- 2+ years of experience Salesforce platform development - Previous experience working with Salesforce Sales Cloud / Service Cloud or Marketing Cloud is preferred- APEX and at least one other OO programming language (C# is ideal)- SQL, SOQL, & SOSL- Front End development using HMTL, CSS and JavaScript- Passionate about writing clean and maintainable codeNice to haves;- Experience from systems integrations & RESTful APIs- Experience with git, the Salesforce Metadata API, sandboxes & deployment toolsWhat's In It for YouGenerous compensation between $130,000 - $150,000Three weeks paid vacation your first year, increases to four weeks your second yearAll expenses paid international travelOn-site restaurant and barTravel discountsMarket-leading benefits package including top of the line health coverage, 401k with company match, and moreSo, if you are a Salesforce Technical Lead or Senior Software Engineer with Saleforce Sales Cloud, Service Cloud or Marketing Cloud experience and you're looking to lead a team, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Salesforce Technical Lead - Sales / Service / Marketing Cloud
326,"Minimum Required Skills:Pre-Sales Engineer, HTML, CSS, Product Demonstrations / Technical Pre-Sales, Develop customer relationshipsWe are the world leader, in the cloud-based marketing software game, that has changed sales / marketing software forever. We are a publicly traded company that's a perennial winner of Best Place to Work in the country. We are looking for a Pre-Sales Engineer to demonstrate, implement, and optimize our software for prospects & existing customers. Additionally, we are looking for someone who has the customer facing skills to compliment your technical ability. We are right in Cambridge and are looking for the best and brightest to join our tightknit team right away! We are looking for a smart, driven, and ambitious Senior Sales Engineer who is ready to expand their skill-set with an amazing team. If this is you, please read on!Top Reasons to Work with Us• Top pay, benefits and ability to work in one of the most exciting technology fields• Casual work environment, surrounded by the best and the brightest technical minds• Make a true impact on our company and products with high-visibility and possibilities for career growth• The opportunity to gain meaningful career development while working with the core development team• Opportunity to learn a ton and to continue to grow as a developer• Be a part of an amazing company that will take your career and your passion to the next level• Tons of room for career growth and opportunity!• Work with amazing and collaborative coworkers who like showing up to workWhat You Will Be Doing• Lead product demonstrations & technical pre-sales conversations.• Drive implementation and deployment for onboarding customers.• Develop relationships with our customers & partner channels.• Work with our product team to make sure they are solving for the customer with our product.• Work with our sales team to ensure they are delighting our customers & prospectsWhat You Need for this PositionAt Least 5 years of experience and knowledge of:• Pre-Sales Engineer• HTML• CSS• PHP• Product Demonstrations / Technical Pre-Sales• Develop customer relationshipsBonus Points:• Experience working as a Digital Marketer or Consultant in an agency or vendor• Experience with SaaS & cloud-based software.• Knowledge of REST API frameworksWhat's In It for You• The nicest office space in the city• Unlimited vacation• Company equity that is actually worth something TODAY• 401k matching and life, health, dental, and vision insurance• Tuition reimbursement up to $5,000/year• A full, indoor gym and health classes• Standing and treadmill desks• 8 sprocket beer and cider taps• Weekly food surprises• Kitchen fully stocked with fresh fruit, yogurt, cereal, veggies, and snacks• Clear road maps for promotion and career growthSo, if you are a Senior Sales Engineer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Senior Sales Engineer -Pre-sales- Top Rated Boston Tech Company!
327,"Minimum Required Skills:JavaScript, CSS, HTML, JQuery, SQL Server, Java, web applicationsCome work in our bright, growing, passionate and large office near the Cambridge, Massachusetts area. You will not be disappointed! Our international company is the largest and fastest growing online and mobile company in the Greater Boston Area! We provide services that receive 5-star reviews consistently, consistently impress and satisfy our growing audience of consumers, and now are valued at over $2 Billion in a $30 Billion Dollar Industry!! We are growing faster than we can keep up and need strong 5-star talent to go with our 5-star Team!We constantly are educating, training, and implementing any new and current technologies! Isn't that a dream???We love people who are passionate about technology and want to continue to learn and grow! We also value core fundamentals like building testable code, test driven development, service oriented architecture, and software development life cycle. We have a lot going on, and we believe in investing in the growth of our engineers! Come join us today! Possible Sponsorship!Excellent Salary!I promise you will not be disappointed!Top Reasons to Work with UsWe are a high-growth company, steadily increasing our reach and influence. Our tech is very cool, and we look to steadily and aggressively increase our cutting edge technology. We have a great culture built on the principles of hard-work and balance. Many companies say that, but you will see it first hand with us.What You Will Be DoingYour primary responsibility will be to help us design a great Web Applications utilizing the frameworks of JavaScript, HTML and CSS.Your experience and perspective will be heard and considered as this product design evolves.- Work on cutting edge technologies, and UI Technologies- Helping our Front End Team take it to the next level!- Code your heart out!What You Need for this Position- 3+ years of Web Application experience- HTML5, CSS, JavaScript- Cross-browser experienceWhat's In It for YouOnce you learn more about our company then you will want to join us. Once you learn what we have to offer on top of what you know already will make this opportunity truly remarkable. -Top Line Salary -Health Benefits (Best in the area)-Employee Profit Sharing-Top Line VacationSo if you are a Passionate Developer with Good Web Application experience, we look forward to your resume!Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Web Developer - JavaScript expert!
328,"Minimum Required Skills:HTML5, CSS3, AngularJS, Cordova, Phone GapIf you are a Hybrid Mobile Developer with front end experience, please read on!Located in Waltham, we are a growing SaaS company that is building a product used across the country. We have a current need for a Hybrid Mobile Developer to come in and help shape our mobile efforts. Our mobile development is currently done off shore so we are looking to bring it in-house, and this candidate will be in charge of building the team. If this sounds like something you may be interested in we would love to talk more in-depth with you about the position.Top Reasons to Work with Us1. Growth within the company2. Ability to gain exposure to both iOS and Android development3. Casual company with a focus on work/life balanceWhat You Will Be Doing• Designs and codes features, tests and other hybrid mobile application components to meet the needs of the business• Ensures that hybrid mobile applications work well across target platforms (primarily Android and iOS)• Helps other web front-end developers learn how to work on hybrid mobile applications• Works closely with mobile developers across the enterprise to share experience and continuously improve our ability to deliver world-class mobile experiences quickly• Assists with the UX design of mobile applicationsWhat You Need for this Position• Experience developing hybrid mobile applications, with Ionic, Angular, CSS, HTML 5, JavaScript and other broadly used Web development technologies. • Has delivered awesome, hybrid mobile applications that work on both Android and IOS using these technologies.• Experience with Phone Gap or Cordova• Experience developing offline hybrid mobile applications is a plus.• Passionate about delivering high quality user experience on mobile devices. Has experience assisting with UX design for mobile.• Has web client-side experience – JavaScript, MVVM/MVC Framework (Angular, Knockout, etc.), CSS and HTML• Good oral and written communication skills• Experience developing native mobile applications (Android with Java, IOS with Objective-C) a plus• Experience with one or more server-side stacks (.NET, Node.js, Python, Java, PHP etc.) a plusWhat's In It for YouFor your hard work, we offer top-notch benefits, extremely competitive salaries and the ability to join a top-notch company. Our company culture is second to none so if you're looking to get into a company that you can grow with, this is the perfect landing spot!So, if you are a Hybrid Mobile Developer with the needed experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.","Hybrid Mobile Developer - HTML5, CSS3, AngularJS"
329,"The individual we are looking for will be a business analyst and/or circulation professional that is data savvy, detail oriented, smart, a fast learner and comfortable working with large data sets. This associate will need to work well in a team environment as well as independently. This person must thrive in a fast-paced work environment and manage multiple projects at a time while maintaining accuracy and consistency of their project deliverables.Primary Responsibilities• Demonstrate a solid understanding of direct marketing, relational/database marketing programming, circulation and related techniques, strategies and tools.• Build and execute using in-house database extraction tools (e.g. SAS-MA, Toad, SAS, MS-Access, etc.) customer/prospect circulation lists for offline, telesales and email marketing campaigns.• Possess a solid understanding of campaign management reporting (CRM) tools and techniques.• Work in conjunction with the Manager of Production & Operations and other Marketing Managers on circulation strategies and reporting to drive new customer acquisitions and overall customer revenue and greater share of wallet.• Assist in the management and optimization of our external vendors. ( e.g. computer service bureaus, list brokers, analytical modeling consultancies, ESPs, printers and mail houses, etc.)• Develop, champion and drive targeting and marketing strategies that will improve vehicle performance and customer performance metrics.• Perform adhoc analytical reports and special projects as requested by management and the Business.• Accurately, consistently, and in a timely manner document campaign circulation strategy and business rules so that there is complete program transparency available to all relevant stakeholders• Develop and maintain reporting schedules, calendars and results histories.• Continually look for and produce efficiencies and process improvements that will support the goals of the Business.Basic• Bachelor Degree in any of the following fields: computer science/programming, marketing/business management, math, statisticsand/or equivalent, relevant and related work experiences• 3+ years of experience in campaign management, programming, circulation, direct marketing, analytics or database marketing related positions• Experience with database campaign management tools like: SAS, SPSS, Unica, SAS-MA, Epiphany, Alterian• Effective and confident communication/presentation skills, along with the ability to drive the discussion at key meetings",Marketing Analyst
330,"PMO Support AnalystLocation: Quincy, MADuration: 6 months The PMO Support Analyst will support the IT Project Management Office for merger related Integration Projects and for daily business. They will provide status and performance reporting and continuous quality assurance of PMO processes on a daily basis.Responsibilities to include:• Development of the annual PMO portfolio• Portfolio Resource Management• Creation of high level PowerPoint presentations for executive audiences• Creation of PMO communications such has training documents, process flows, and other business materials• Managing and administrating PowerSteering PPM Qualifications:• 5+ years PM or PMO support experience• Solid experience/knowledge of project financials• Experience with Portfolio Resource Management• Advanced experience with PowerSteering PPM• Strong to intermediate experience with MS Project• Advanced experience with MS Excel, including pivot tables• Advanced experience with MS PowerPoint and creating presentations• Outstanding communication and business writing skills Certifications:• PMI’s CAPM certification is a major plus (or an equivalent project management certification)• PMI’s PMP certification is a plusPLEASE RESPOND TO: klinfante at isesincorporated dot com",PMO Support Analyst
331,"Junior to Mid-Level Business Intelligence AnalystLocation: onsite Marlborough, MAUS Citizens and Green Card Holders and those authorized to work in the US are encouraged to apply. We are unable to sponsor H1B candidates at this time.Description:We are looking for an energetic go getter who is looking to climb the career ladder!Would you like to be working with one of the world's largest travel groups, with more than 16,000 staff worldwide. They are the world leader in the enterprise travel management space with an active global network spanning over 90 countries worldwide.  Offering a unique and welcoming culture, this rapidly growing organization works with cutting edge technology, offers a very stable, career growth-oriented environment and has excellent benefits including discounts on accommodationsWe seek a motivated person to work on the Global Technology team to enhance our technical product platform. This position requires technical ingenuity, the ability to work with people and win the hearts of our great clients. The ideal candidate will have experience working with the Microsoft BI platform and knows how to extract data from complex databases using SQL.The position will require the candidate to liaise with our global teams to manage and assist with projects through to completion. An applicant should be able to demonstrate the ability to initiate process improvements with automation to create efficiencies.  If this job is for you and you do not mind getting your hands dirty, we’ll help you grow your development skills with 2 industry leading BI platforms the Microsoft Business Intelligence Stack and the GoodData reporting suite.Responsibilities:Must have experience with: SQL Server solid understanding of relational database. Able to write queries with joins (basic to mid-level)Solid understanding of TSQL syntax, stored procedures and user defined functionsStrong problem solving and troubleshooting skillsSoft skills: Smart and quick learner.Respond to internal support queries, such as data and report validation questionsAdhoc analysis of travel data for internal review & external clientsDocumenting processes and proceduresAssist with support of our Web Development team Position Requirements:Hands on experience extracting data with SQL using complex joinsExperience using a business intelligence and analytic platformMust have experience working with end users and/ or technical product ownersMust be able to facilitate meetings and keep participants engagedHighly logical with proven analytical and problem-solving abilitiesExperience of gathering user requirements and translating these into codeAbility to execute tasks in a high-pressure environmentStrong interpersonal, written and oral communication skillsExperience of working both independently and in a team environmentStrong technical knowledge of the Microsoft Office SuiteExperience with SQL Server Reporting Services is a plusWorking knowledge of Sharepoint is a plus",Business Intelligence Analyst
332,"Are you looking for a career trajectory that few other organizations can offer in SAP? What about access to a high-quality portfolio of businesses and clients with opportunities to work across capabilities, industries, and geographies ‑ in roles and on projects aligned with your SAP Customer skills? If this matches your interests and aspirations Deloitte may be right for you.   The team The full potential of SAP solutions isn't just about technology, it's also about driving sustainable business value. At Deloitte Consulting LLP, our SAP specialists deliver the technology and services to help our clients meet business performance goals and improve processes. As an SAP Global Partner we provide a broad range of consulting services, from HR, CRM and supply chain to finance transformation. Learn more about our SAP practice   Required Qualifications Functional/technical proficiency with at least 4+ full lifecycle SAP implementations and 8+ years of industry and/or consulting experience At least 8 years of SAP experience implementing SAP VC with IPC Experience defining systems strategy, developing systems requirements, designing and prototyping, testing, training, defining support procedures and implementing practical business solutions under multiple deadlines Adept at designing and implementing technology-enabled business solutions for clients as part of a high-talent team and as a team lead or Project Manager on at least 3+ full cycle implementations Able to collaborate with clients, identify engagement follow-on opportunities and have a strong desire to excel and be committed to gaining exposure to multiple industries while further developing your career Strong current hands-on configuration and design skills Ability to travel 80-100% is REQUIRED Bachelor’s degree or equivalent required Master’s degree preferred   How you’ll grow At Deloitte, our professional development plan focuses on helping people at every level of their career identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world.  From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career.  Explore Deloitte University, The Leadership Center   Benefits At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you   Deloitte’s culture Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.  Learn more about Life at Deloitte   Corporate citizenship Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities.  We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism and leadership to help drive positive social impact in our communities.  Learn more about Deloitte’s impact on the world   Recruiter tips We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals   Deloitte is one of the leading professional services organizations in the United States, specializing in audit, tax, consulting, and financial advisory services with clients in more than 20 industries. We provide powerful business solutions to some of the world's most well-known and respected companies, including more than 75 percent of the Fortune 100. At Deloitte, you can have a rewarding career on every level. In addition to challenging and meaningful work, you'll have the chance to give back to your community, make a positive impact on the environment, participate in a range of diversity and inclusion initiatives, and find the support, coaching, and training it takes to advance your career. Our commitment to individual choice lets you customize aspects of your career path, your educational opportunities and your benefits. And our culture of innovation means your ideas on how to improve our business and your clients' will be heard. About Deloitte As used in this document, “Deloitte” means Deloitte LLP and its subsidiaries. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law. Disclaimer: If you are not reviewing this job posting on our Careers' site (careers.deloitte.com) or one of our approved job boards we cannot guarantee the validity of this posting. For a list of our current postings, please visit us at careers.deloitte.com.",SAP VC with IPC - Manager (Customer Capability)
333,"Java/Spring/Cloud Based Web Services Applications DeveloperLocation:  Boston, MA 02215Duration:  6 month contract to hire.Hiring:  Phone and Face to Face REQUIRED.  No Skype and No Exceptions.Rate:  $60 to $69/hr. W2 while contract and $100k to $115k upon conversion to a perm role. Our direct client, an industry-leader in the Health insurance and managed care sector and is on Fortune’s 2014 “World’s Most Admired Companies” list, is looking for a consultant for the following responsibilities. Primary Responsibilities Perform all phases of software engineering including requirements analysis, application design, code development and testing Design and implement product features in collaboration with business and IT stakeholders Design reusable components, frameworks and libraries Work very closely with architecture groups and drive solutions Participate in an Agile/Scrum methodology to deliver high-quality software releases every 2 weeks through Sprints Design and develop innovative solutions to meet the needs of the business Review code and provide feedback relative to best practices and improving performance Troubleshoot production support issues post-deployment and come up with solutions as required Mentor and guide other software engineers within the team Work with a team of software engineers for one or more Agile scrum teams assigned to work on the project Designs, codes, tests, debug, and documents software, and enhance existing components to ensure that software meets business needs Contribute to the design and architecture to enable secure, scalable, and maintainable software and should be able to clearly articulate the implications of design/architectural decisions, issues and plans to technology leadership Provide hands-on leadership, coaching, mentoring, and software engineering best practices to junior software engineers Develop reusable patterns and encourage innovation that will enable team velocity Collaborate on the design with other team members and product owners, both inside and outside the scrum team Estimate engineering work effort for engineering team and effectively identify and prioritize the high impact tasks Conduct design and code reviews to ensure code developed meets coding best practices guidelines, unit testing, security, and scalability and maintainability guidelines Drive a quality mindset within the team----------Required Qualifications 4+ years Java/Spring Framework experience Experience building cloud based web services Demonstrated success in building design patterns and software engineering best practices Experience with automated unit testing technologies (Such as JUnit, Spock, or similar)Preferred Qualifications BS Degree in Computer Science or related experience Experience with commercial software development and/or healthcare industry experience Sound understanding of design patterns and OOP as well as their implementation in real world applications Experience with Agile Methodology Experience with XML/JSON and developing REST services using Apache CXF or a comparable framework. Experience with RabbitMQ Experience with Maven Experience with Groovy Good understanding of SQL, relational database modeling and design Excellent analytical and creative problem solving skills Independent/go-getter attitude to keep yourself well-versed with new evolving technologies in application development landscape and be able to define how some of them can help in improving the work you are a part of now or in future Experience with all aspects of web application developmentThis is a Contract to Hire Opportunity, please only apply if your salary requirements are between $95, 000 $115,000 and you are eligible to work without sponsorship.For more information please contract Mike Charron at 401-336-2734.Since 1995, iTech Solutions Inc., has been providing IT Consulting and Direct Hire Services to the Insurance, Financial, Communications, Manufacturing  and Government sectors with local offices in Connecticut, Minnesota, Colorado,  Massachusetts, Tennessee, and New Jersey / Pennsylvania area. Our recruiting strategy is simple, if you want to find qualified IT professionals then use IT professionals to find them.   So at iTech Solutions,  our personnel are all career IT professionals with a wide range of IT experience.  We can honestly say our staff understands the technologies, the complexities of finding and selecting the appropriate personnel and the pressures of running successful IT projects.  (Other Job Titles Include: Sr. Developer, Senior Developer, Sr. Programmer, Senior Programmer, Sr. Programmer / Analyst,  Java Developer, Java Programmer, Sr. Java Programmer, Senior Java Programmer, Sr. Java Programmer / Analyst, Web Developer, Client / Server Developer, J2EE Developer, J2EE Programmer, Sr. J2EE Programmer, Senior J2EE Programmer, Sr. J2EE Programmer / Analyst, MicroSoft Programmer, Web Systems Analyst, Java Guru, Sr. Java Developer,  J2EE Guru, Sr. J2EE Developer, J2EE Consultant, Java Consultant, Java Software Engineer, Java Engineer, J2EE Software Engineer, J2EE Engineer,) ",Java/Spring/Cloud based Web Services Applications Developer
334,"Minimum Required Skills: Mechanical Engineer, SolidWorks, Product Development, Electronics Packaging, Electronics Cooling, GD&T, ASME, Shock and Vibration, Drawing Standards, Small precision componentsBased in Woburn, MA, we go above and beyond to create innovative customized solutions for embedded applications. Due to our growth, we are in need of hiring a Senior Mechanical Engineer that is strong with Board-Level Electronics Packaging and / or Electronics Cooling. You should have Solidworks experience. Any experience with ASME, GD&T, small precision components, or Shock & Vibrations would be helpful, but not required. If this is you, please apply immediately!What You Will Be DoingYou will provide design and support inputs to the electronics hardware and mechanical teams, while also being involved in the verification stages of product development. Other duties include:-On-going support to our UK based production team-Liaising with our hardware, thermal and PCB design engineers -Develop our mechanical design procedures-Maintain awareness of new technologiesWhat You Need for this Position1.) 5+ years of experience as a Mechanical Engineer2.) Must have strong experience with Board - Level Electronics Packaging and /or Electronics Cooling3.) Must have Solidworks expertise4.) Must have Drawing Standards expertise with either GD&T or ASMENice to Have Skills:1.) Electronics packaging experience designing, developing, documenting, and testing board level and chassis level products2.) Small Precision Components would be helpful3.) Shock & Vibrations would be helpful4.) Team Leadership skillsWhat's In It for You$110-130k + Bonus + benefitsSo, if you are a Senior Mechanical Engineer with Electronics Packaging experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Senior Mechanical Engineer - Electronics Packaging
335,"Minimum Required Skills:IT Security, CISSP/CISM/CISA/CEH, Cryptography, IT Control, Security Policies/ Processes, Risk ManagementIf you are an Information Security Manager with experience, please read on!Located in downtown Boston, we are a global consulting firm working in all different industries coaching our clients on a wide variety of subjects. Celebrating over 50 years if being in business we have locations in almost half the states in the U.S. and in countries across the world. We pride ourselves in the work we do and look forward to bringing on new talent to join our firm.Top Reasons to Work with Us1. Fifty years in business2. Innovative Company3. Opportunity for Career GrowthWhat You Will Be DoingThe Information Security Manager will be responsible for building and maintaining a security program using data-driven methods that focus on organization and situation specific results. In this role, you will assist with the development and execution of security objectives that cover administrative, technical, and physical security controls to reduce risk and meet compliance requirements. You will provide advice to both internal and external customers regarding technical issues, security risks and business impacts, as well as participate in the broader Information Security governance process with IT and Security leadership. You will also collaborate with the Technology Director and CIO on global initiatives such as risk assessments, business continuity, Incident Response and security testing.The Information Security Manager will serve in the role of the security leader for the organization and report to our Director of Technology Strategy and Architecture. The role will be responsible for managing all aspects of corporate and information security. The individual will be charged with managing and creating security policies, practices, and controls for the organization. These policies will need a special emphasis on client data security as well as corporate data security and privacy.Being a part of the enterprise technology group, this role will serve as the centralized security person responsible for the makeup of corporate security and privacy practices. This individual will also be responsible for articulating our policies and practices to our clients and prospects in presentations and in proposals. The individual will manage our audits as well targeted audits for our clients. The audits will include certification, network and application testing protocols. The individual will be responsible for maintaining any compliance certifications.The person will be responsible for creating and implementing employee security training programs. This training program covers both new hires and specialized groups such as those more likely to encounter PHI and PII in their daily roles, using training content related to the job performed.This role requires a professional attitude that includes honesty, flexibility, collaboration and a commitment to ongoing learning.What You Need for this Position- Proficient IT Security experience- CISSP Certification - Knowledge of Cryptography- Writing Security Policies/ Processes- Risk Management experienceWhat's In It for YouCompetitve Salary/ BenefitsSo, if you are a Information Security Manager with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.","Information Security Manager - IT Security, CISSP, Policies"
336,"Job ID: 521787BR Business Area: CVS Health Primary Location: RI ‒ Cumberland Job Type: Full Time Job Category: Information Systems Clinical Licensure Required: N/A Location Code OF212 Position Summary: This IT Data Communication Analyst – Senior Position is responsible for installation setup, configuration and troubleshooting of a large data network including LAN and WAN. This position will be responsible for ensuring monitoring, upkeep, and online production status of all network infrastructure, tools and technologies for 24X7 enterprise network. This IT Data Communication Analyst - Senior will monitor data network for service issues and perform routine network health checks. The IT Data Communication Analyst - Senior will carry out routine maintenance and implement changes. Required Qualifications: -3+ years' of experience with Cisco routers, switches and appliances - 1+ year experience working in LAN and/or WAN environments Preferred Qualifications: - Juniper and Infoblox knowledge - Cisco Nexus and VSS experience preferred. - Experience with tools such as SolarWinds and Sniffer/Anu - Cisco certification - F5 background - Experience in a large fast paced environment with strong troubleshooting skills Education: Verifiable High School Diploma or GED required. Business Overview: CVS Health, through our unmatched breadth of service offerings, is transforming the delivery of health care services in the U.S. We are an innovative, fast-growing company guided by values that focus on teamwork, integrity and respect for our colleagues and customers. What are we looking for in our colleagues? We seek fresh ideas, new perspectives, a diversity of experiences, and a dedication to service that will help us better meet the needs of the many people and businesses that rely on us each day. As the nation’s largest pharmacy health care provider, we offer a wide range of exciting and fulfilling career opportunities across our three business units – MinuteClinic, pharmacy benefit management (PBM) and retail pharmacy. Our energetic and service-oriented colleagues work hard every day to make a positive difference in the lives of our customers. CVS Health is an equal opportunity employer. We do not discriminate in hiring or employment against any individual on the basis of race, ethnicity, ancestry, color, religion, sex/gender (including pregnancy), national origin, sexual orientation, gender identity or expression, physical or mental disability, medical condition, age, veteran status, military status, marital status, genetic information, citizenship status, unemployment status, political affiliation, or on any other basis or characteristic prohibited by applicable federal, state or local law. CVS Health will not discharge or in any other manner discriminate against any Colleague or applicant for employment because such Colleague or applicant has inquired about, discussed, or disclosed the compensation of the Colleague or applicant or another Colleague or applicant. Furthermore, we comply with the laws and regulations set forth in the following EEO is the Law Poster: EEO IS THE LAW Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. If you require assistance to apply for this job, please contact us by clicking AA EEO CVS Health For inquiries related to the application process or technical issues please contact the Kenexa Helpdesk at 1-855-338-5609. For technical issues with the Virtual Job Tryout assessment, contact the Shaker Help Desk at 1-877-987-5352. Please note that we only accept resumes via our corporate website: https://jobs.cvshealth.com/",Data Communication Analyst - Senior
